# Omegam Omegab weights loglike
3.925015783156616256e-01 4.948873306051539828e-02 0.000000000000000000e+00 -1.942424617957967348e+04
2.739611685429382271e-01 4.933685329289404231e-02 0.000000000000000000e+00 -1.053304100060195015e+04
3.936308283766111193e-01 5.024425486901390459e-02 0.000000000000000000e+00 -1.980967132441334616e+04
2.529886247889139295e-01 4.936324191456743088e-02 0.000000000000000000e+00 -2.441250891681344001e+04
2.546379411756624633e-01 4.977300559603391877e-02 0.000000000000000000e+00 -2.315867910943336028e+04
3.836453733069906669e-01 4.884686219269048640e-02 0.000000000000000000e+00 -1.552247025470074732e+04
2.596905732971169223e-01 5.027350389895773874e-02 0.000000000000000000e+00 -1.941579717695796717e+04
2.450673762253201271e-01 5.008035236854678496e-02 0.000000000000000000e+00 -3.172574641965437331e+04
2.725294174147490645e-01 4.961412081120704365e-02 0.000000000000000000e+00 -1.131304311083507127e+04
2.447552103440923388e-01 5.186280701856515324e-02 0.000000000000000000e+00 -3.251713295196041872e+04
2.735609960583178513e-01 5.079309155147716803e-02 0.000000000000000000e+00 -1.095938623957210257e+04
3.863691790952643590e-01 4.885216737974586859e-02 0.000000000000000000e+00 -1.672238279610047175e+04
3.924557525284845250e-01 5.007749120699409723e-02 0.000000000000000000e+00 -1.928495613186276751e+04
2.647376990225755455e-01 4.955502967284750038e-02 0.000000000000000000e+00 -1.584072139785072432e+04
2.630334998629654253e-01 4.908377158474405699e-02 0.000000000000000000e+00 -1.686528709839401927e+04
2.404389631566807850e-01 4.854394489866836054e-02 0.000000000000000000e+00 -3.600887815662875073e+04
2.592309099791908489e-01 4.930181272878986914e-02 0.000000000000000000e+00 -1.954958770535035728e+04
2.612717138500195158e-01 5.011582279481532898e-02 0.000000000000000000e+00 -1.826290040777186005e+04
2.683566709927191485e-01 5.024201887172248526e-02 0.000000000000000000e+00 -1.374054149592408794e+04
3.718619495775332684e-01 5.005056969707673969e-02 0.000000000000000000e+00 -1.057364441490821446e+04
2.754194454414933269e-01 4.982311848797221776e-02 0.000000000000000000e+00 -9.881027077432278020e+03
3.781789721504310586e-01 4.981922900464437476e-02 0.000000000000000000e+00 -1.305998534421655495e+04
2.672131018942742187e-01 4.971134315142373278e-02 0.000000000000000000e+00 -1.432971829915751914e+04
3.663587825399453046e-01 4.889434055165051141e-02 0.000000000000000000e+00 -8.773677599564209231e+03
3.974374153813191590e-01 4.862418977460044450e-02 0.000000000000000000e+00 -2.200333222332318110e+04
3.966863515506460769e-01 4.937039148548309775e-02 0.000000000000000000e+00 -2.147164371459180256e+04
2.410115421412636905e-01 5.000783271378717726e-02 0.000000000000000000e+00 -3.581307724282376148e+04
3.684551166093469332e-01 5.002110323713376827e-02 0.000000000000000000e+00 -9.346438617319030527e+03
2.614680232216171629e-01 4.931145666027794000e-02 0.000000000000000000e+00 -1.796861308741232642e+04
3.979763263330560186e-01 4.972957488866355108e-02 0.000000000000000000e+00 -2.203390839633867290e+04
2.672116129580163757e-01 4.941491046978205987e-02 0.000000000000000000e+00 -1.427914637104746726e+04
3.659364890382290625e-01 4.915424575520004058e-02 0.000000000000000000e+00 -8.593810362523789081e+03
2.926355852597689045e-01 4.883208210404535454e-02 0.000000000000000000e+00 -3.339006355307936701e+03
2.821032806102984347e-01 4.936491343660451281e-02 0.000000000000000000e+00 -6.872143641217660843e+03
3.586961842488319840e-01 5.015930744238275563e-02 0.000000000000000000e+00 -6.170854203732500537e+03
2.895920608893559622e-01 4.998149178143385107e-02 0.000000000000000000e+00 -4.311356485790461193e+03
2.905836750235239463e-01 4.944188892313015199e-02 0.000000000000000000e+00 -3.964281204116270601e+03
3.511874142896843631e-01 5.037571759728960707e-02 0.000000000000000000e+00 -4.118617717895517671e+03
3.551287094611182416e-01 5.008812568372542767e-02 0.000000000000000000e+00 -5.167704160302760101e+03
3.601389435185501919e-01 5.055936093310705454e-02 0.000000000000000000e+00 -6.555887788366113455e+03
2.912892324424276591e-01 4.968134606783233820e-02 0.000000000000000000e+00 -3.781900467021430359e+03
3.604155598054173959e-01 4.924313327974470106e-02 0.000000000000000000e+00 -6.794788341572189893e+03
2.998044666527575619e-01 4.952632146630527032e-02 0.000000000000000000e+00 -1.757990370826420985e+03
3.462672483637251331e-01 5.023139931578776696e-02 0.000000000000000000e+00 -3.001175433847824024e+03
3.473864950144361363e-01 4.918157690395128651e-02 0.000000000000000000e+00 -3.331230222063617020e+03
3.446222729165062670e-01 4.951933652525788987e-02 0.000000000000000000e+00 -2.713288269802748800e+03
2.871695740731622370e-01 4.913810873463662909e-02 0.000000000000000000e+00 -5.002037668313540053e+03
3.409998418213265881e-01 4.999736810021704336e-02 0.000000000000000000e+00 -1.991445993768459175e+03
2.928932169945743791e-01 4.974107994098703883e-02 0.000000000000000000e+00 -3.344596992098965529e+03
3.531043365839704462e-01 5.071397663847619641e-02 0.000000000000000000e+00 -4.569875052749368479e+03
3.527073183636018072e-01 4.991157627759817278e-02 0.000000000000000000e+00 -4.544394845331277793e+03
2.909212061267771876e-01 5.014448327899612839e-02 0.000000000000000000e+00 -3.929937789230501494e+03
2.846467796613400547e-01 5.017644763450836848e-02 0.000000000000000000e+00 -5.995591541246017186e+03
2.933664238355707665e-01 5.017120889063422101e-02 0.000000000000000000e+00 -3.255562400309328495e+03
3.443789637573254625e-01 4.994486722105653809e-02 0.000000000000000000e+00 -2.632217502620683263e+03
2.966549309571518966e-01 5.047774576054167572e-02 0.000000000000000000e+00 -2.476040048226117051e+03
3.582450952947469069e-01 4.955439399173711817e-02 0.000000000000000000e+00 -6.106598173707895512e+03
2.965713782470930648e-01 5.021438470860302428e-02 0.000000000000000000e+00 -2.475306957796395182e+03
3.589123445769849541e-01 4.923769668709489927e-02 0.000000000000000000e+00 -6.340387302627510508e+03
