# omch2 ombh2 h ns 10^9As b0 loglike weights
1.559526380337200313e-01 1.773825934414911126e-02 7.235060305807262671e-01 9.836973307950442891e-01 2.569913811886651800e+00 1.231503321207769952e+00 0.000000000000000000e+00 -5.613401936487002531e+05
1.182172678057998028e-01 2.565353884691758124e-02 6.175126337180554259e-01 9.982385530586598277e-01 2.597485481219813153e+00 4.101301342702328157e-01 0.000000000000000000e+00 -2.159443386160572059e+06
1.149195040255556188e-01 2.381405986581397460e-02 7.377568110618792918e-01 9.361341897136139512e-01 2.301574210903698514e+00 2.406765027048760608e+00 0.000000000000000000e+00 -1.218819347727115965e+06
1.427411729027480147e-01 2.851528020840680966e-02 7.031841294414320487e-01 9.778186646065463172e-01 2.694991073778755464e+00 1.571025423689345946e+00 0.000000000000000000e+00 -7.847393506716513075e+05
1.420861762406235018e-01 2.540058867117590824e-02 6.677848767135006192e-01 9.316291054308845077e-01 2.019068110804167482e+00 1.887151020729790130e+00 0.000000000000000000e+00 -8.103528855511164293e+05
1.488406500504840801e-01 1.966634795961940199e-02 6.763618966957081202e-01 9.381822005295354927e-01 2.564079073546259746e+00 1.673404647083918340e+00 0.000000000000000000e+00 -1.043451520653025131e+06
8.554449514845581526e-02 1.617482073752674748e-02 6.516315748075774961e-01 9.897188954219094947e-01 2.042546560814063383e+00 6.512208764899124480e-01 0.000000000000000000e+00 -1.358496004126762738e+06
1.145802455492135885e-01 2.570570724289480968e-02 7.324598444465812985e-01 9.617359140826470254e-01 2.641073732229589410e+00 1.893546518705705672e+00 0.000000000000000000e+00 -8.257999829936225433e+05
1.132446670446810577e-01 2.832361134443612399e-02 6.157082885756255397e-01 9.407915991054671689e-01 2.984505161145942775e+00 4.733543911177962582e-01 0.000000000000000000e+00 -1.409102540041275090e+06
1.312163473958576354e-01 2.214638590881394531e-02 6.622192721283666206e-01 9.373001954575569394e-01 2.533306224680227370e+00 2.223762671375219213e+00 0.000000000000000000e+00 -1.431353652923254529e+06
1.434782521103952768e-01 2.902494366950852250e-02 6.803577440829560175e-01 9.668922834645184983e-01 2.498260782245011136e+00 2.702736518616287720e-01 0.000000000000000000e+00 -4.322344781803912483e+06
9.106595571871159422e-02 2.761685675920169322e-02 6.908006907940403840e-01 9.642929506178469223e-01 2.668258777101241375e+00 2.431585342367832858e+00 0.000000000000000000e+00 -8.934954610892302589e+05
1.465469028633782367e-01 2.417530326128671664e-02 6.207177860188164420e-01 9.275646256737978268e-01 2.178334897618808164e+00 1.842053293359862787e+00 0.000000000000000000e+00 -8.798115409053512849e+05
1.473624702010690179e-01 1.614558217244867894e-02 7.168133105353008405e-01 9.264455949648153776e-01 2.139461214841766878e+00 2.006215747997065257e+00 0.000000000000000000e+00 -1.300507096704855096e+06
1.494971438130448527e-01 1.891835845187403789e-02 6.990647920173869156e-01 9.881416014796914338e-01 2.513358090546260026e+00 2.286983664139745187e+00 0.000000000000000000e+00 -1.895724714722877368e+06
1.258696139648990964e-01 2.411300277475614262e-02 7.393522158500523966e-01 9.780153608382357033e-01 2.548395772925683644e+00 1.918360682589149269e+00 0.000000000000000000e+00 -1.025916256121822051e+06
1.571305883853079399e-01 2.658887904115459638e-02 6.492763741792437759e-01 9.233290623962699950e-01 2.534016185349950767e+00 2.030122229424494495e+00 0.000000000000000000e+00 -1.416577202438034117e+06
1.017844644204292659e-01 1.696649135397421126e-02 6.600336679752969449e-01 9.834718816575290790e-01 2.950388675037389330e+00 2.304499730953171621e+00 0.000000000000000000e+00 -1.397897308497657534e+06
1.278742084431729042e-01 2.357635585086280405e-02 6.140215847971035590e-01 9.449874625391750937e-01 2.549907316729294493e+00 2.270065491229169563e+00 0.000000000000000000e+00 -1.373949490454128711e+06
9.641903987635966344e-02 2.401418899537013235e-02 6.578730030859410993e-01 9.751191457842863786e-01 2.348607144603041430e+00 5.024779136680439517e-01 0.000000000000000000e+00 -2.172292625571378507e+06
1.541824389463414269e-01 2.598239392277328433e-02 6.341762725108865961e-01 9.970628981695632831e-01 2.864486497275333665e+00 1.527599356250989082e+00 0.000000000000000000e+00 -9.346331954822633415e+05
