# loglike weights omch2 ombh2 h ns 10^9As b0
1.037481603168735195e-01 2.029238245267899962e-02 6.142323004045764367e-01 9.827958592167154173e-01 2.305744539231448176e+00 8.514157032482774223e-01 0.000000000000000000e+00 -2.403243376675247564e+05
1.281944946334907520e-01 2.185178849232867135e-02 6.476075825650694506e-01 9.639014118317248414e-01 2.630227867922497964e+00 1.348534039131559670e+00 0.000000000000000000e+00 -3.073175950923543423e+05
9.369274417178195813e-02 2.625631710051460829e-02 6.222773516965589558e-01 9.369889088572058711e-01 2.499970671618965135e+00 5.239652399467980004e-01 0.000000000000000000e+00 -2.604960418657719158e+06
1.547646158881803569e-01 2.306232520001684841e-02 7.136105828725237687e-01 9.245593044323565657e-01 2.600779573401253320e+00 1.434457793445222284e+00 0.000000000000000000e+00 -6.258587117412440712e+05
1.068494283512763099e-01 1.824076272914056107e-02 6.488161729768097130e-01 9.696570020538277657e-01 2.349877611277191747e+00 7.963100426406976018e-01 0.000000000000000000e+00 -2.441227958838823542e+05
1.108241398582320292e-01 2.557308400413851879e-02 7.174490293350292980e-01 9.841135770119837645e-01 2.118691419303628365e+00 6.849734066978152569e-01 0.000000000000000000e+00 -8.424546217422678601e+05
1.472332022681285824e-01 2.386988550896239347e-02 6.114437103333003609e-01 9.518872253022959695e-01 2.260775522514480329e+00 7.180810983439797068e-01 0.000000000000000000e+00 -1.806102406081134104e+05
1.209639869042878624e-01 2.609288653797953508e-02 6.508221824099348352e-01 9.404003504654154799e-01 2.441506114693624774e+00 5.933397402518366670e-01 0.000000000000000000e+00 -9.194586960059214616e+05
1.482459980092876162e-01 2.361851882633461686e-02 6.679946025197377457e-01 9.629826063252014956e-01 2.129842064677298197e+00 7.258037632769512859e-01 0.000000000000000000e+00 -1.621544917365188885e+05
1.148205883026575530e-01 2.231716330176407304e-02 7.073456690830917104e-01 9.334917376683391499e-01 2.380035564835904172e+00 1.483881471730349677e+00 0.000000000000000000e+00 -2.383425513689008658e+05
1.522225013529052706e-01 2.564133219028209842e-02 7.316317768134428245e-01 9.553973180198769288e-01 2.150352169045387285e+00 1.180050169711796659e+00 0.000000000000000000e+00 -1.444614315671270597e+05
1.447659506922990280e-01 2.676678558457445956e-02 6.931038422033101165e-01 9.916643967956547678e-01 2.706048766551767848e+00 6.120981005703264310e-01 0.000000000000000000e+00 -2.587158466581352404e+05
1.010287366739326259e-01 2.029254391942852259e-02 6.927540364288390373e-01 9.803672185079362889e-01 2.336699495155657225e+00 5.300674569687979787e-01 0.000000000000000000e+00 -1.832433699827589327e+06
1.317816650039615178e-01 2.390876071919076709e-02 6.782310620565294990e-01 9.390372422025040633e-01 2.771253146135498557e+00 1.292050598243635884e+00 0.000000000000000000e+00 -2.909361101675545215e+05
1.279293049518703818e-01 2.292674922130560553e-02 7.320607414650548428e-01 9.557338563652979513e-01 2.585125673708595695e+00 1.286480045228080238e+00 0.000000000000000000e+00 -2.320475123709645122e+05
1.567008543294752809e-01 2.509072630154035588e-02 7.429601491151853754e-01 9.317615086492141430e-01 2.490574050982563126e+00 5.623554973339064400e-01 0.000000000000000000e+00 -3.941987879619601299e+05
1.086699864206179117e-01 1.991661533272465895e-02 6.660538335266253940e-01 9.904529111556906740e-01 2.653592634335175671e+00 7.180274400640026533e-01 0.000000000000000000e+00 -2.916446171410018578e+05
1.507445337098574090e-01 2.166240786992941481e-02 6.305831259230064711e-01 9.578213139671547527e-01 2.251827677828904140e+00 1.342896441304886945e+00 0.000000000000000000e+00 -3.378019421954463469e+05
