,Omegam,Omegab,h,ns,sigma8,lnbgs8_1,lnbgs8_2,lnbgs8_3,lnbgs8_4,Ps_1,Ps_2,Ps_3,Ps_4
Omegam,2518057.7036166936,-1834129.422638397,23152.335155079032,358121.8235283984,386640.6549803258,671597.450582284,693612.5373421463,608349.1810216982,575547.0751444466,69.43901008725996,68.02045412150173,57.2230226339406,52.85999121402443
Omegab,-1834129.422638397,5002414.454775464,-677587.4181731782,-944500.5806267731,-43559.75924428774,-126061.13956940561,-86962.20543343227,-16626.204358502175,112205.78953625448,-41.889595294394965,-38.596765975872025,-29.934704859802025,-23.584037196826152
h,23152.335155079032,-677587.4181731782,246331.9786584578,163364.66648151202,-199980.09222614503,-143485.46600521664,-140159.21351864954,-123590.87105668859,-135039.73427486455,-7.219710991501494,-6.008521380905136,-4.425488550337177,-3.867982610328159
ns,358121.8235283984,-944500.5806267731,163364.66648151202,267544.0463378788,-23380.718228853446,-6360.322441660028,-18650.119094804773,-33888.99414901715,-69984.59890944163,9.216373499605705,8.22152373628711,6.071459787016611,4.25828658046609
sigma8,386640.6549803258,-43559.75924428774,-199980.09222614503,-23380.718228853446,314469.43069132935,226139.46566409426,220551.50343772792,188193.38751596046,184261.37807486427,18.01432735557131,16.545885338936166,13.257748063153349,11.967946835403959
lnbgs8_1,671597.450582284,-126061.13956940561,-143485.46600521664,-6360.322441660028,226139.46566409426,1080094.7407335346,0.0,0.0,0.0,86.55821583869366,0.0,0.0,0.0
lnbgs8_2,693612.5373421463,-86962.20543343227,-140159.21351864954,-18650.119094804773,220551.50343772792,0.0,1093247.6226476463,0.0,0.0,0.0,83.13254312199449,0.0,0.0
lnbgs8_3,608349.1810216982,-16626.204358502175,-123590.87105668859,-33888.99414901715,188193.38751596046,0.0,0.0,962269.4726303926,0.0,0.0,0.0,69.17985404064243,0.0
lnbgs8_4,575547.0751444466,112205.78953625448,-135039.73427486455,-69984.59890944163,184261.37807486427,0.0,0.0,0.0,960180.869717955,0.0,0.0,0.0,64.19815441834919
Ps_1,69.43901008725996,-41.889595294394965,-7.219710991501494,9.216373499605705,18.01432735557131,86.55821583869366,0.0,0.0,0.0,0.008867704823905111,0.0,0.0,0.0
Ps_2,68.02045412150173,-38.596765975872025,-6.008521380905136,8.22152373628711,16.545885338936166,0.0,83.13254312199449,0.0,0.0,0.0,0.008135994002324572,0.0,0.0
Ps_3,57.2230226339406,-29.934704859802025,-4.425488550337177,6.071459787016611,13.257748063153349,0.0,0.0,69.17985404064243,0.0,0.0,0.0,0.006490627976077417,0.0
Ps_4,52.85999121402443,-23.584037196826152,-3.867982610328159,4.25828658046609,11.967946835403959,0.0,0.0,0.0,64.19815441834919,0.0,0.0,0.0,0.005784172538370988
