,Omegam,Omegab,h,ns,sigma8,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,AIA,betaIA,etaIA
Omegam,6332492.102259066,-1770392.988240551,414976.2599300783,414263.74198496115,2618303.44689836,-625464.6349567458,-133598.20201848395,-58641.99620591455,-25566.72387026371,-6045.977995856217,3157.2378229497035,6504.777656355228,7873.6159301106445,3602.711426645318,-8393.86824740958,8964.012807431991,4721.005042138512,15578.597457184524
Omegab,-1770392.988240551,2736156.7044657404,-513411.00790340436,-409730.2481886882,-1137293.6625880483,-139694.36965855455,-114405.38290635019,-75407.09072799556,-56230.64475450603,-36363.995651305544,-20663.31660054501,-3065.2259852003635,15922.20202663992,35481.35273394302,69674.15717775174,667.767752558237,-498.3569100601402,840.9640386705629
h,414976.2599300783,-513411.00790340436,109057.4905064575,108976.26568390829,162971.03560271394,23885.566425236597,16684.757388771734,8951.281376372346,5049.11489102692,1378.3353939114638,-1947.2455286702725,-4849.843042086873,-9463.999840276945,-14248.131987256129,-19666.560384026892,-203.74109889914587,178.51356911117648,-245.9839166134291
ns,414263.74198496115,-409730.2481886882,108976.26568390829,198900.71156851336,-456568.73004689853,-27748.630047437724,-32044.941966273385,-31177.549978541985,-32295.86330097592,-32035.116436562465,-34407.00203310065,-32258.357867660652,-40241.35204193812,-44403.6779244802,-43861.56955311188,-342.2281870428255,303.01638567436197,-410.889088091442
sigma8,2618303.44689836,-1137293.6625880483,162971.03560271394,-456568.73004689853,7140280.930591084,566055.9904619381,428246.4324499192,320618.1125809198,288816.75265017606,256294.62794922106,249443.13687020773,214529.54125685702,247049.66377654363,249912.60287744622,219267.0621049683,-859.8221137680763,2147.7167210209377,-507.717731329544
b1,-625464.6349567458,-139694.36965855455,23885.566425236597,-27748.630047437724,566055.9904619381,518516.082806932,44216.40393553902,508.00524573268586,658.1609743933477,14.200422396740555,43.06869762278124,5.19212801513042,3.5885661371821533,0.03078639771271738,1.2549564584237218,-6.006174264440716,17.33442783456409,-3.0212198500855783
b2,-133598.20201848395,-114405.38290635019,16684.757388771734,-32044.941966273385,428246.4324499192,44216.40393553902,237252.89352708223,33372.5244415203,80.07486762785118,713.2219306105972,-19.03122182862165,21.16132448112975,5.841291922222085,0.1281319980669583,0.8257856998678672,-62.27560568397489,145.1668880612443,-46.429436374959884
b3,-58641.99620591455,-75407.09072799556,8951.281376372346,-31177.549978541985,320618.1125809198,508.00524573268586,33372.5244415203,157088.90994548812,34082.664520193604,-129.6806563506825,567.1015706974247,15.96998081033016,4.14013145897375,5.2428141426301424,0.05351403959365715,-68.78284663358106,125.0387026315439,-56.98042798933257
b4,-25566.72387026371,-56230.64475450603,5049.11489102692,-32295.86330097592,288816.75265017606,658.1609743933477,80.07486762785118,34082.664520193604,126663.76322123907,30623.007309249093,235.74268056660082,405.5792870879961,53.47605793427691,6.785486166219698,3.8302420783182636,-113.62535551358654,145.20264742131013,-109.0584670516864
b5,-6045.977995856217,-36363.995651305544,1378.3353939114638,-32035.116436562465,256294.62794922106,14.200422396740555,713.2219306105972,-129.6806563506825,30623.007309249093,102558.88471514639,27720.491490188215,466.25848983174603,352.5963181014704,58.455671836724655,7.753142165258685,-78.5245642314618,100.31667762337368,-78.96267301964829
b6,3157.2378229497035,-20663.31660054501,-1947.2455286702725,-34407.00203310065,249443.13687020773,43.06869762278124,-19.03122182862165,567.1015706974247,235.74268056660082,27720.491490188215,96155.43256357791,24485.110636429108,1004.1019940669297,278.9140680277688,49.48703585513284,-40.89800933340256,40.362067565597634,-50.768642543651374
b7,6504.777656355228,-3065.2259852003635,-4849.843042086873,-32258.357867660652,214529.54125685702,5.19212801513042,21.16132448112975,15.96998081033016,405.5792870879961,466.25848983174603,24485.110636429108,76429.5840416302,20485.625347885034,715.9200233519084,117.15130001272044,-29.140609654088347,16.293891798396462,-39.747422821665275
b8,7873.6159301106445,15922.20202663992,-9463.999840276945,-40241.35204193812,247049.66377654363,3.5885661371821533,5.841291922222085,4.14013145897375,53.47605793427691,352.5963181014704,1004.1019940669297,20485.625347885034,95092.02703882303,16960.196330424413,627.5730173041136,-29.252160335077498,23.98037794349412,-34.53166734566839
b9,3602.711426645318,35481.35273394302,-14248.131987256129,-44403.6779244802,249912.60287744622,0.03078639771271738,0.1281319980669583,5.2428141426301424,6.785486166219698,58.455671836724655,278.9140680277688,715.9200233519084,16960.196330424413,98511.03648014508,11592.802415195814,-131.22962246079993,-45.85500717872215,-225.73886353019992
b10,-8393.86824740958,69674.15717775174,-19666.560384026892,-43861.56955311188,219267.0621049683,1.2549564584237218,0.8257856998678672,0.05351403959365715,3.8302420783182636,7.753142165258685,49.48703585513284,117.15130001272044,627.5730173041136,11592.802415195814,89724.46078126259,-326.79757427461067,-196.68826520980804,-575.4309703692376
AIA,8964.012807431991,667.767752558237,-203.74109889914587,-342.2281870428255,-859.8221137680763,-6.006174264440716,-62.27560568397489,-68.78284663358106,-113.62535551358654,-78.5245642314618,-40.89800933340256,-29.140609654088347,-29.252160335077498,-131.22962246079993,-326.79757427461067,1732.5663050908777,406.33500590655103,2819.4924878116612
betaIA,4721.005042138512,-498.3569100601402,178.51356911117648,303.01638567436197,2147.7167210209377,17.33442783456409,145.1668880612443,125.0387026315439,145.20264742131013,100.31667762337368,40.362067565597634,16.293891798396462,23.98037794349412,-45.85500717872215,-196.68826520980804,406.33500590655103,681.28036025133,878.4924669415716
etaIA,15578.597457184524,840.9640386705629,-245.9839166134291,-410.889088091442,-507.717731329544,-3.0212198500855783,-46.429436374959884,-56.98042798933257,-109.0584670516864,-78.96267301964829,-50.768642543651374,-39.747422821665275,-34.53166734566839,-225.73886353019992,-575.4309703692376,2819.4924878116612,878.4924669415716,4669.969686293135
