,Omegam,Omegab,h,ns,sigma8,Ps_1,Ps_2,Ps_3,Ps_4,lnbg_1,lnbg_2,lnbg_3,lnbg_4
Omegam,7812550.282339856,-5149809.958669801,164729.73353243375,1077543.6997666177,504703.08492206794,45.94460258163414,45.400055144490956,41.68215036903792,50.46960313167147,1494642.7797320918,1857493.3831932223,2085353.3128717432,3108750.75868507
Omegab,-5149809.958669801,9886561.874420162,-1075171.4161591008,-1764268.232526373,-242246.8010335503,-33.1612417264183,-31.325686790343994,-27.3659158207367,-30.826259814573437,-596372.6861612182,-707820.4563670631,-741330.6582281681,-948127.9392068137
h,164729.73353243375,-1075171.4161591008,418656.199756128,239431.20090641576,-181451.1576167302,-4.550671826921135,-3.31014415889035,-2.0985536460983507,-1.4443588472968862,-203583.35745393316,-211518.94676986028,-200541.77088477166,-256766.3793495745
ns,1077543.6997666177,-1764268.232526373,239431.20090641576,499082.8683299838,32160.15777505326,7.860716437520141,7.318177045492884,6.282547703132554,6.878542971474799,89002.01257942422,105328.9540501688,105561.69633970241,113060.52310418797
sigma8,504703.08492206794,-242246.8010335503,-181451.1576167302,32160.15777505326,169871.59780801006,7.242930079765757,5.943584516832983,4.564569242677084,4.532089225458599,240395.46162617172,250187.52632178058,238727.10390322405,300327.5519283803
Ps_1,45.94460258163414,-33.1612417264183,-4.550671826921135,7.860716437520141,7.242930079765757,0.002119716546803048,0.0,0.0,0.0,61.84327165440063,0.0,0.0,0.0
Ps_2,45.400055144490956,-31.325686790343994,-3.31014415889035,7.318177045492884,5.943584516832983,0.0,0.0015911854114433075,0.0,0.0,0.0,58.77059297728413,0.0,0.0
Ps_3,41.68215036903792,-27.3659158207367,-2.0985536460983507,6.282547703132554,4.564569242677084,0.0,0.0,0.0011419829433523573,0.0,0.0,0.0,52.02215839863454,0.0
Ps_4,50.46960313167147,-30.826259814573437,-1.4443588472968862,6.878542971474799,4.532089225458599,0.0,0.0,0.0,0.0010697997105924494,0.0,0.0,0.0,60.66817503321861
lnbg_1,1494642.7797320918,-596372.6861612182,-203583.35745393316,89002.01257942422,240395.46162617172,61.84327165440063,0.0,0.0,0.0,2354531.573045761,0.0,0.0,0.0
lnbg_2,1857493.3831932223,-707820.4563670631,-211518.94676986028,105328.9540501688,250187.52632178058,0.0,58.77059297728413,0.0,0.0,0.0,2772022.5797539507,0.0,0.0
lnbg_3,2085353.3128717432,-741330.6582281681,-200541.77088477166,105561.69633970241,238727.10390322405,0.0,0.0,52.02215839863454,0.0,0.0,0.0,2986400.6721279817,0.0
lnbg_4,3108750.75868507,-948127.9392068137,-256766.3793495745,113060.52310418797,300327.5519283803,0.0,0.0,0.0,60.66817503321861,0.0,0.0,0.0,4312489.68980518
