# area = 14000
# zmin   zm     zmax      dn3        bias
0.60    0.65    0.70    309       1.01916188
0.70    0.75    0.80    2269      1.04813973
0.80    0.85    0.90    1923      1.07832051
0.90    0.95    1.00    2094      1.10973998
1.00    1.05    1.10    1441      1.14238157
1.10    1.15    1.20    1353      1.17619527
1.20    1.25    1.30    1337      1.21111165
1.30    1.35    1.40    523       1.24705172
1.40    1.45    1.50    466       1.28393301
1.50    1.55    1.60    329       1.32167414
1.60    1.65    1.70    126       1.36019724
