# area = 5000
# zmin   zm     zmax
0.40    0.43    0.45
0.45    0.47    0.50
0.50    0.53    0.55
0.55    0.57    0.60
0.60    0.62    0.65
0.65    0.67    0.70
0.70    0.72    0.75
0.75    0.77    0.80
0.80    0.82    0.85
0.85    0.87    0.90
0.90    0.92    0.95
0.95    0.97    1.00
1.00    1.02    1.05
1.05    1.07    1.10
1.10    1.12    1.15
1.15    1.17    1.20
1.20    1.22    1.25
1.25    1.27    1.30
1.30    1.32    1.35
1.35    1.37    1.40
1.40    1.42    1.45
1.45    1.47    1.50
1.50    1.52    1.55
1.55    1.57    1.60
1.60    1.62    1.65
1.65    1.67    1.70
1.70    1.72    1.75
1.75    1.77    1.80
1.80    1.82    1.85
1.85    1.87    1.90
1.90    1.92    1.95
1.95    1.97    2.00
2.00    2.02    2.05
2.05    2.07    2.10
2.10    2.12    2.15
2.15    2.17    2.20
2.20    2.22    2.25
2.25    2.27    2.30
2.30    2.32    2.35
2.35    2.37    2.40
2.40    2.42    2.45
2.45    2.47    2.50
2.50    2.52    2.55
2.55    2.57    2.60
